Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Chuy%27s+Auto+Repair+Llc./data=!4m7!3m6!1s0x864e8784f80042cd:0xd555d1212f46d784!8m2!3d32.7396732!4d-97.110788!16s%2Fg%2F1v8y4ffl!19sChIJzUIA-ISHToYRhNdGLyHRVdU?authuser=0&hl=en&rclk=1
Marios Auto Repair,+1 817-303-5555,,,+18173035555,,https://wa.me/18173035555,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Marios+Auto+Repair/data=!4m7!3m6!1s0x864e7d31673f67f1:0xda0afb524ff6fc2b!8m2!3d32.7027011!4d-97.121219!16s%2Fg%2F11gdrqn9gt!19sChIJ8Wc_ZzF9ToYRK_z2T1L7Cto?authuser=0&hl=en&rclk=1
FERNANDO'S AUTOMOTIVE LLC,+1 682-558-9113,,,+16825589113,,https://wa.me/16825589113,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/FERNANDO%27S+AUTOMOTIVE+LLC/data=!4m7!3m6!1s0x864e639e5a8a9b23:0xe98d50d9e3727bdd!8m2!3d32.6910168!4d-97.130204!16s%2Fg%2F11gy6tw71n!19sChIJI5uKWp5jToYR3Xty49lQjek?authuser=0&hl=en&rclk=1
Rob & Son Garage (Auto Repair),+1 817-422-9592,robsongarage22@gmail.com,,+18174229592,,https://wa.me/18174229592,https://robandsongarage.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Rob+%26+Son+Garage+%28Auto+Repair%29/data=!4m7!3m6!1s0x864e7d0cf0f07937:0x5626aaa4182c6b22!8m2!3d32.7086646!4d-97.1372026!16s%2Fg%2F11gk12f_s6!19sChIJN3nw8Ax9ToYRImssGKSqJlY?authuser=0&hl=en&rclk=1
Main Express Auto & Mobile Mechanic Arlington,+1 214-566-2402,mainexpressauto@gmail.com,,+12145662402,,https://wa.me/12145662402,https://mainexpressauto.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Main+Express+Auto+%26+Mobile+Mechanic+Arlington/data=!4m7!3m6!1s0x864e7d1658a5987b:0x493c1a9a0a8390b!8m2!3d32.7367491!4d-97.1189858!16s%2Fg%2F11t7hgyt31!19sChIJe5ilWBZ9ToYRCzmooKnBkwQ?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Sun+Auto+Tire+%26+Service/data=!4m7!3m6!1s0x864e657a303e525f:0xfcfe6ecc5d5c6ad0!8m2!3d32.6466865!4d-97.190422!16s%2Fg%2F11r6l262lb!19sChIJX1I-MHplToYR0GpcXcxu_vw?authuser=0&hl=en&rclk=1
Golden Track Auto Repair,+1 817-617-2000,,,+18176172000,,https://wa.me/18176172000,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Golden+Track+Auto+Repair/data=!4m7!3m6!1s0x864e7dac7fc5363b:0x88ff3cc5ec854b79!8m2!3d32.7402831!4d-97.1131497!16s%2Fg%2F11qqvzbncn!19sChIJOzbFf6x9ToYReUuF7MU8_4g?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Ltc+Automotive+Repair,+LLC/data=!4m7!3m6!1s0x864e7d2e6ab4bae1:0xfdf90d51f4ccff8d!8m2!3d32.703772!4d-97.1263484!16s%2Fg%2F11df0g_rkf!19sChIJ4bq0ai59ToYRjf_M9FEN-f0?authuser=0&hl=en&rclk=1"
Jerry's General Automotive,+1 817-465-9223,navig@or.online,,+18174659223,,https://wa.me/18174659223,http://www.jerrysgeneralautomotive.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Jerry%27s+General+Automotive/data=!4m7!3m6!1s0x864e6252c404e09d:0x557d57f238fd238f!8m2!3d32.6415367!4d-97.1345138!16s%2Fg%2F1td2mx3t!19sChIJneAExFJiToYRjyP9OPJXfVU?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Metro+Champion+Auto+Repair/data=!4m7!3m6!1s0x864e7d315d89905b:0xf2d0e8edecc01fb0!8m2!3d32.702641!4d-97.121193!16s%2Fg%2F1tlvpylp!19sChIJW5CJXTF9ToYRsB_A7O3o0PI?authuser=0&hl=en&rclk=1
