Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
Frisco Automotive & Transmission,+1 972-779-9280,d@alayer.push,,+19727799280,,https://wa.me/19727799280,https://friscoauto.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Frisco+Automotive+%26+Transmission/data=!4m7!3m6!1s0x864c3c0594548d5d:0xc92dc8eb8c0682d4!8m2!3d33.1515919!4d-96.8282655!16s%2Fg%2F1v2f0xyv!19sChIJXY1UlAU8TIYR1IIGjOvILck?authuser=0&hl=en&rclk=1
,,mktgcoaches@cbac.com,,,,,https://www.cbac.com/frisco?utm_source=GMB&utm_medium=organic&utm_campaign=frisco&utm_content=website-cta,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Christian+Brothers+Automotive+Frisco/data=!4m7!3m6!1s0x864c3c57faa1b09d:0x7caf875ddb617bf!8m2!3d33.1189976!4d-96.8022435!16s%2Fg%2F1tfrsb00!19sChIJnbCh-lc8TIYRvxe23XX4ygc?authuser=0&hl=en&rclk=1
,+1 972-978-8797,infofrisco@solutionsautomotive.com,,+19729788797,,https://wa.me/19729788797,http://www.solutionsautomotive.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Solutions+Automotive/data=!4m7!3m6!1s0x864c3c0500fad58d:0xe4125f4e529b6c2b!8m2!3d33.152903!4d-96.826755!16s%2Fg%2F11dxnp0yv8!19sChIJjdX6AAU8TIYRK2ybUk5fEuQ?authuser=0&hl=en&rclk=1
Rexroad Mobile Auto Repair,+1 469-469-4521,aaron@rexroadauto.com,,+14694694521,,https://wa.me/14694694521,https://www.rexroadauto.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Rexroad+Mobile+Auto+Repair/data=!4m7!3m6!1s0x864c39d0981cfb27:0x907cc83c6fdf0cdd!8m2!3d33.1754938!4d-96.7356691!16s%2Fg%2F11rc91myg9!19sChIJJ_scmNA5TIYR3QzfbzzIfJA?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x864c3bda0a437ced:0x74ca4b5637fd548f!8m2!3d33.152613!4d-96.8670051!16s%2Fg%2F1thmld6c!19sChIJ7XxDCto7TIYRj1T9N1ZLynQ?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Driver%27s+Edge/data=!4m7!3m6!1s0x864c3b7f6259e457:0x5e3d444c65db8772!8m2!3d33.1160329!4d-96.8385755!16s%2Fg%2F1tj52_fc!19sChIJV-RZYn87TIYRcofbZUxEPV4?authuser=0&hl=en&rclk=1
Complete Collision Auto & Body Repair,+1 972-484-1898,window.loc@ion.replace,,+19724841898,,https://wa.me/19724841898,https://completecollisiondallas.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Complete+Collision+Auto+%26+Body+Repair/data=!4m7!3m6!1s0x864c26edd392be35:0xfa1b4c49cec48858!8m2!3d32.952918!4d-96.864705!16s%2Fg%2F113j6jf08!19sChIJNb6S0-0mTIYRWIjEzklMG_o?authuser=0&hl=en&rclk=1
Christian Brothers Automotive Frisco West,+1 214-974-3684,mktgcoaches@cbac.com,,,,,https://www.cbac.com/frisco-west/?utm_source=GMB&utm_medium=organic&utm_campaign=frisco-west&utm_content=website-cta,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Christian+Brothers+Automotive+Frisco+West/data=!4m7!3m6!1s0x864c3a4503512c47:0x38404661c991ae93!8m2!3d33.1464069!4d-96.8902011!16s%2Fg%2F1tfx58y9!19sChIJRyxRA0U6TIYRk66RyWFGQDg?authuser=0&hl=en&rclk=1
Truck Repairing Centre,+1 510-971-4833,repair@cardan.com,repair@cardan.com,+15109714833,,https://wa.me/15109714833,http://truckrepairingcentre.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Truck+Repairing+Centre/data=!4m7!3m6!1s0x808f816a9071ee49:0x8aa39f1e9abb5841!8m2!3d32.776403!4d-96.796823!16s%2Fg%2F11xzpfxw36!19sChIJSe5xkGqBj4ARQVi7mh6fo4o?authuser=0&hl=en&rclk=1
Kwik Kar Oil Change & Auto Care,+1 972-712-1188,block-navig@ion-link.is,,+19727121188,,https://wa.me/19727121188,https://www.kwikkar.com/locations/tx/frisco/6614-preston-road,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Kwik+Kar+Oil+Change+%26+Auto+Care/data=!4m7!3m6!1s0x864c3c4597c9d53d:0x5cb3b31d0a60aaa8!8m2!3d33.1330177!4d-96.8038739!16s%2Fg%2F1tfk07nm!19sChIJPdXJl0U8TIYRqKpgCh2zs1w?authuser=0&hl=en&rclk=1
Brakes Plus,+1 469-731-4330,,,+12144915787,,https://wa.me/12144915787,https://www.brakesplus.com/stores/frisco/tx/0317/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&storenum=0317,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Brakes+Plus/data=!4m7!3m6!1s0x864c3b208c3ecf2d:0x3dca1a9f899d00ce!8m2!3d33.1073078!4d-96.840127!16s%2Fg%2F11kf3scc5y!19sChIJLc8-jCA7TIYRzgCdiZ8ayj0?authuser=0&hl=en&rclk=1
"Elite European Auto, LLC",+1 469-929-8001,navig@or.online,,+14699298001,,https://wa.me/14699298001,https://www.eliteeuropeanauto.com/,Yes,,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Elite+European+Auto,+LLC/data=!4m7!3m6!1s0x864c3ba5ccfa41f3:0x8b0c0f4ee17bebe0!8m2!3d33.1465897!4d-96.9152945!16s%2Fg%2F11vc6bf3zv!19sChIJ80H6zKU7TIYR4Ot74U4PDIs?authuser=0&hl=en&rclk=1"
Elite Complete Auto Repair,+1 972-347-3333,eliteprospershop@gmail.com,,+19723473333,,https://wa.me/19723473333,http://eliteautocompleterepair.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Elite+Complete+Auto+Repair/data=!4m7!3m6!1s0x864c3f84a1b40e2f:0x1b666554a6104d08!8m2!3d33.2434278!4d-96.7868375!16s%2Fg%2F11f04155n2!19sChIJLw60oYQ_TIYRCE0QplRlZhs?authuser=0&hl=en&rclk=1
Frisco Paint & Body Inc.,+1 972-335-3515,louis@friscopaintandbodyinc.com,,+19723353515,,https://wa.me/19723353515,http://www.friscopaintandbodyinc.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Frisco+Paint+%26+Body+Inc./data=!4m7!3m6!1s0x864c3c489e395faf:0xe001fc8518dae71d!8m2!3d33.1499711!4d-96.8234179!16s%2Fg%2F1tdv_8sf!19sChIJr185nkg8TIYRHefaGIX8AeA?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Kia+of+Frisco+Service/data=!4m7!3m6!1s0x864c3d47086ff5a9:0x3a27f3d91c0171db!8m2!3d33.1031968!4d-96.7939416!16s%2Fg%2F11rj64rggm!19sChIJqfVvCEc9TIYR23EBHNnzJzo?authuser=0&hl=en&rclk=1
David's Automotive Repair,+1 972-625-1836,davidsrepair@yahoo.com,,+19726251836,,https://wa.me/19726251836,https://www.davidsrepair.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/David%27s+Automotive+Repair/data=!4m7!3m6!1s0x864c3bcd491dda51:0x66647b651f2eb6f5!8m2!3d33.0798697!4d-96.8916119!16s%2Fg%2F11t6g7q11b!19sChIJUdodSc07TIYR9bYuH2V7ZGY?authuser=0&hl=en&rclk=1
Sun Auto Tire & Service,+1 469-209-8599,www.plaz@ireservice.com,,+14693880088,,https://wa.me/14693880088,https://www.sunautoservice.com/locations/tx/plano/auto-repair-4641-hedgcoxe-rd?utm_source=local_listing&utm_medium=organic&utm_campaign=store_4246,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Sun+Auto+Tire+%26+Service/data=!4m7!3m6!1s0x864c3df46f924605:0x50a969f2670dabe5!8m2!3d33.0844387!4d-96.7930591!16s%2Fg%2F11fk01x3z1!19sChIJBUaSb_Q9TIYR5asNZ_JpqVA?authuser=0&hl=en&rclk=1
,,www.plaz@ireservice.com,,+14693880088,,https://wa.me/14693880088,https://www.sunautoservice.com/locations/tx/mckinney/auto-repair-2830-virginia-pkwy?utm_source=local_listing&utm_medium=organic&utm_campaign=store_4244,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Sun+Auto+Tire+%26+Service/data=!4m7!3m6!1s0x864c13301cb21161:0x1e23204b8b3c7e29!8m2!3d33.1993713!4d-96.6562805!16s%2Fg%2F11gydg0v_7!19sChIJYRGyHDATTIYRKX48i0sgIx4?authuser=0&hl=en&rclk=1
Ultimate Car Care,+1 469-803-5885,www.ultim@e-car.com,,+14698035885,,https://wa.me/14698035885,https://www.ultimate-car.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Ultimate+Car+Care/data=!4m7!3m6!1s0x864c37ed2bc46bdb:0x829bda3a3f84a2b1!8m2!3d33.1652312!4d-96.9672819!16s%2Fg%2F11gvrcj57c!19sChIJ22vEK-03TIYRsaKEPzram4I?authuser=0&hl=en&rclk=1
Crash Champions Collision Repair Frisco,+1 972-377-0405,fonts.gst@ic.com,,+19723770405,,https://wa.me/19723770405,https://crashchampions.com/locations/crash-champions-frisco,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Crash+Champions+Collision+Repair+Frisco/data=!4m7!3m6!1s0x864c3c1096ca8e63:0xa9c6599fb08c7f41!8m2!3d33.1499166!4d-96.8081444!16s%2Fg%2F1tmxw_dt!19sChIJY47KlhA8TIYRQX-MsJ9Zxqk?authuser=0&hl=en&rclk=1
Allen Automotive Repair,+1 972-727-5641,,,+19727275641,,https://wa.me/19727275641,https://allenautorepair.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Allen+Automotive+Repair/data=!4m7!3m6!1s0x864c1735dad260e1:0xea569188554028fe!8m2!3d33.1051107!4d-96.6685133!16s%2Fg%2F1vd769q3!19sChIJ4WDS2jUXTIYR_ihAVYiRVuo?authuser=0&hl=en&rclk=1
Washguys Automotive And Lube,+1 214-407-8001,window.loc@ion.href,,+12144078001,,https://wa.me/12144078001,https://washguyslube.com/?utm_source=omg-gbp&utm_medium=webclick,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Washguys+Automotive+And+Lube/data=!4m7!3m6!1s0x864c3dc48dce9007:0x3ca6f34d10e26dd4!8m2!3d33.1429974!4d-96.803922!16s%2Fg%2F11q9tflphf!19sChIJB5DOjcQ9TIYR1G3iEE3zpjw?authuser=0&hl=en&rclk=1
Lorentz Automotive,+1 972-353-2100,cole@lorentzautoinc.com,,+19723532100,,https://wa.me/19723532100,https://www.lorentzautoinc.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Lorentz+Automotive/data=!4m7!3m6!1s0x864c2e107456dedd:0x8ae14375dbfc8966!8m2!3d33.051403!4d-96.9945755!16s%2Fg%2F1tcvc8_t!19sChIJ3d5WdBAuTIYRZon823VD4Yo?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Crest+INFINITI+Service/data=!4m7!3m6!1s0x864c3dae7ecf386f:0xcb176cc13d3c7a1!8m2!3d33.0895907!4d-96.8343065!16s%2Fg%2F11j2xkr0qb!19sChIJbzjPfq49TIYRocfTE8x2sQw?authuser=0&hl=en&rclk=1
Dr. Auto paint and body,+1 469-990-3796,,,+14699903796,,https://wa.me/14699903796,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Dr.+Auto+paint+and+body/data=!4m7!3m6!1s0x864c3b20b05f8f91:0xf40d4b3e4113da87!8m2!3d33.1520305!4d-96.8944316!16s%2Fg%2F11nh498q3d!19sChIJkY9fsCA7TIYRh9oTQT5LDfQ?authuser=0&hl=en&rclk=1
"Xtreme PDR, Inc.",+1 972-480-3380,jordan@xtrpdr.com,,+19724803380,,https://wa.me/19724803380,https://xtrpdr.com/,Yes,,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Xtreme+PDR,+Inc./data=!4m7!3m6!1s0x864c3c45be5f8bef:0xe42eb0e316ace505!8m2!3d33.131047!4d-96.806348!16s%2Fg%2F1tgyx36q!19sChIJ74tfvkU8TIYRBeWsFuOwLuQ?authuser=0&hl=en&rclk=1"
