Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
PRIME Mobile Auto Service,+966 57 527 5736,,,+966575275736,,https://wa.me/966575275736,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/PRIME+Mobile+Auto+Service/data=!4m7!3m6!1s0x3e2f038be0b9d0db:0xdf762290fc27f6a8!8m2!3d24.7135517!4d46.6752957!16s%2Fg%2F11nbb39cz7!19sChIJ29C54IsDLz4RqPYn_JAidt8?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%A3%D9%A6%D9%A0+%D9%84%D8%B5%D9%8A%D8%A7%D9%86%D8%A9+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f072562c3f5ef:0x3388c922b242fe29!8m2!3d24.6353666!4d46.7406718!16s%2Fg%2F11v3v9lbhf!19sChIJ7_XDYiUHLz4RKf5CsiLJiDM?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D8%A8%D8%B1%D9%8A%D8%B3%D8%AA%D9%8A%D8%AC+%D8%A7%D9%88%D8%AA%D9%88+%D9%83%D9%8A%D8%B1+Prestige+auto+care%E2%80%AD/data=!4m7!3m6!1s0x3e2f1d721a513b5b:0xeb2bbedf0f19746b!8m2!3d24.7104616!4d46.6668138!16s%2Fg%2F11nbb7ct6f!19sChIJWztRGnIdLz4Ra3QZD9--K-s?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%87%D8%A7%D8%B4%D9%85+%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f1df2b8955555:0xf65c27a69efec838!8m2!3d24.6991874!4d46.6561202!16s%2Fg%2F11v3vdlcys!19sChIJVVWVuPIdLz4ROMj-nqYnXPY?authuser=0&hl=en&rclk=1
Repair Shop 27 - ورشة كار هاوس ٢٧,+966 53 081 8985,,,+966530818985,,https://wa.me/966530818985,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Repair+Shop+27+-+%D9%88%D8%B1%D8%B4%D8%A9+%D9%83%D8%A7%D8%B1+%D9%87%D8%A7%D9%88%D8%B3+%D9%A2%D9%A7%E2%80%AD/data=!4m7!3m6!1s0x3e2f1df4c63748a7:0x91baf5cb63653113!8m2!3d24.7043339!4d46.6602824!16s%2Fg%2F11khpcpt0p!19sChIJp0g3xvQdLz4REzFlY8v1upE?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Cathy+rose+car+workshop+%D8%B4%D8%B1%D9%83%D8%A9+%D9%83%D8%A7%D8%AB%D9%8A+%D8%B1%D9%88%D8%B2+%D8%A7%D9%84%D9%88%D8%B1%D8%B4%D8%A9+%D9%84%D9%84%D8%B5%D9%8A%D8%A7%D9%86%D9%87+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f0300426e5c97:0xdd7c68373e378969!8m2!3d24.6819716!4d46.7133462!16s%2Fg%2F11yx7s4g33!19sChIJl1xuQgADLz4RaYk3PjdofN0?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%B1%D9%88%D8%A7%D8%A6%D8%B9+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+%D9%84%D8%B5%D9%8A%D8%A7%D9%86%D8%A9+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+%D9%88%D8%B1%D8%B4%D8%A9+%D8%B1%D9%82%D9%85+%D9%A1%D9%A6+%7C+Car+repair+and+maintenance+workshop+no.16%E2%80%AD/data=!4m7!3m6!1s0x3e2f1d950190e84b:0x7d38493de27e6a76!8m2!3d24.7008657!4d46.6543516!16s%2Fg%2F11w37qrbrg!19sChIJS-iQAZUdLz4Rdmp-4j1JOH0?authuser=0&hl=en&rclk=1
Masar Al Sawani Car Maintenance Center,+966 50 133 3476,,,+966501333476,,https://wa.me/966501333476,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Masar+Al+Sawani+Car+Maintenance+Center/data=!4m7!3m6!1s0x3e2f1d50b8b45b43:0xa8fc4b9ddeaed76c!8m2!3d24.7065787!4d46.6618354!16s%2Fg%2F11sbvw84x4!19sChIJQ1u0uFAdLz4RbNeu3p1L_Kg?authuser=0&hl=en&rclk=1
Farooq Car Mechanic,+966 53 853 1394,,,+966538531394,,https://wa.me/966538531394,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Farooq+Car+Mechanic/data=!4m7!3m6!1s0x3e2fa9787bd3dd31:0x4110b8293153a2d!8m2!3d24.7108125!4d46.8551875!16s%2Fg%2F11g0lcpyrm!19sChIJMd3Te3ipLz4RLToVk4ILEQQ?authuser=0&hl=en&rclk=1
ميكانيكي سيارات,+966 55 372 3019,,,+966553723019,,https://wa.me/966553723019,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%85%D9%8A%D9%83%D8%A7%D9%86%D9%8A%D9%83%D9%8A+%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f1d005e304519:0xe096e5333c232e51!8m2!3d24.6992922!4d46.6550231!16s%2Fg%2F11w8gt4pkc!19sChIJGUUwXgAdLz4RUS4jPDPlluA?authuser=0&hl=en&rclk=1
مرآب ألماني لخدمات السيارات German Garage,+966 50 126 5115,,,+966501265115,,https://wa.me/966501265115,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%85%D8%B1%D8%A2%D8%A8+%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A+%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+German+Garage%E2%80%AD/data=!4m7!3m6!1s0x3e2f077320a1a18d:0x7aed22fec88d007f!8m2!3d24.639303!4d46.7562548!16s%2Fg%2F11t1m0xb1r!19sChIJjaGhIHMHLz4RfwCNyP4i7Xo?authuser=0&hl=en&rclk=1
Aziz Abdullah Workshop Mechanic,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Aziz+Abdullah+Workshop+Mechanic/data=!4m7!3m6!1s0x3e2f0500354a4fcf:0x1dcada5da42bc1d4!8m2!3d24.6330427!4d46.7385918!16s%2Fg%2F11vyn0yjcp!19sChIJz09KNQAFLz4R1MErpF3ayh0?authuser=0&hl=en&rclk=1
Best Quality Workshop ورشة الجودة الأفضل لصيانة السيارات,+966 50 815 9544,,,+966508159544,,https://wa.me/966508159544,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Best+Quality+Workshop+%D9%88%D8%B1%D8%B4%D8%A9+%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9+%D8%A7%D9%84%D8%A3%D9%81%D8%B6%D9%84+%D9%84%D8%B5%D9%8A%D8%A7%D9%86%D8%A9+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2efdfc958c4d07:0x58ef96fa5126449e!8m2!3d24.7630349!4d46.6833875!16s%2Fg%2F11p9w7b_x3!19sChIJB02Mlfz9Lj4RnkQmUfqW71g?authuser=0&hl=en&rclk=1
ورشة ميكانيك وكهرباء سيارات,+966 53 037 4398,,,+966530374398,,https://wa.me/966530374398,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%88%D8%B1%D8%B4%D8%A9+%D9%85%D9%8A%D9%83%D8%A7%D9%86%D9%8A%D9%83+%D9%88%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A1+%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f014baa5e5bbf:0xccdf0b85ceb01ace!8m2!3d24.7640309!4d46.7649668!16s%2Fg%2F11ss3cp46t!19sChIJv1teqksBLz4RzhqwzoUL38w?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Car+Star+Maintenance/data=!4m7!3m6!1s0x3e2f060b0432758f:0xb1312238f5d38d9d!8m2!3d24.6359105!4d46.75071!16s%2Fg%2F11bwzys52r!19sChIJj3UyBAsGLz4RnY3T9TgiMbE?authuser=0&hl=en&rclk=1
AQAF Car Respiring & Servicing Center,+966 57 130 4652,,,+966571304652,,https://wa.me/966571304652,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/AQAF+Car+Respiring+%26+Servicing+Center/data=!4m7!3m6!1s0x3e2fa155a15209b9:0xae4951e05bec0daa!8m2!3d24.5573441!4d46.8614139!16s%2Fg%2F11vymrgmz0!19sChIJuQlSoVWhLz4Rqg3sW-BRSa4?authuser=0&hl=en&rclk=1
