Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/MOTOR+STAR+CAR+MAINTENANCE/data=!4m7!3m6!1s0x3e2fa9b7cb10bb81:0x7709682cd0aad702!8m2!3d24.7113177!4d46.8492302!16s%2Fg%2F11hzcht_jj!19sChIJgbsQy7epLz4RAteq0CxoCXc?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/PRIME+Mobile+Auto+Service/data=!4m7!3m6!1s0x3e2f038be0b9d0db:0xdf762290fc27f6a8!8m2!3d24.7135517!4d46.6752957!16s%2Fg%2F11nbb39cz7!19sChIJ29C54IsDLz4RqPYn_JAidt8?authuser=0&hl=en&rclk=1
هاشم البيضاني,+966 57 616 6425,,,+966576166425,,https://wa.me/966576166425,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%87%D8%A7%D8%B4%D9%85+%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f1df2b8955555:0xf65c27a69efec838!8m2!3d24.6991874!4d46.6561202!16s%2Fg%2F11v3vdlcys!19sChIJVVWVuPIdLz4ROMj-nqYnXPY?authuser=0&hl=en&rclk=1
ورشه اسماعيل التركي رقم ٦,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%88%D8%B1%D8%B4%D9%87+%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84+%D8%A7%D9%84%D8%AA%D8%B1%D9%83%D9%8A+%D8%B1%D9%82%D9%85+%D9%A6%E2%80%AD/data=!4m7!3m6!1s0x3e2f1d3fb535ab9b:0x3ac130447310669!8m2!3d24.7010333!4d46.6552807!16s%2Fg%2F11v05f25c8!19sChIJm6s1tT8dLz4RaQYxRwQTrAM?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Masar+Al+Sawani+Car+Maintenance+Center/data=!4m7!3m6!1s0x3e2f1d50b8b45b43:0xa8fc4b9ddeaed76c!8m2!3d24.7065787!4d46.6618354!16s%2Fg%2F11sbvw84x4!19sChIJQ1u0uFAdLz4RbNeu3p1L_Kg?authuser=0&hl=en&rclk=1
ورشة المغربي 105,+966 50 294 6312,,,+966502946312,,https://wa.me/966502946312,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%88%D8%B1%D8%B4%D8%A9+%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A+105%E2%80%AD/data=!4m7!3m6!1s0x3e2f1dbf022c7713:0x41390d526f7ce7cf!8m2!3d24.7055839!4d46.6598807!16s%2Fg%2F11t64c9clc!19sChIJE3csAr8dLz4Rz-d8b1INOUE?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Yara+Center+%D9%85%D8%B1%D9%83%D8%B2+%D9%8A%D8%A7%D8%B1%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3e2f060cb565cf91:0x3488b7e3be52d3fe!8m2!3d24.6371112!4d46.7511727!16s%2Fg%2F1tfhdx48!19sChIJkc9ltQwGLz4R_tNSvuO3iDQ?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Raheel+Car+Repair/data=!4m7!3m6!1s0x3e2f07002b5ce151:0x7b7536638f89500f!8m2!3d24.6326045!4d46.7480404!16s%2Fg%2F11ygwhw23w!19sChIJUeFcKwAHLz4RD1CJj2M2dXs?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/%D9%85%D8%B1%D8%A2%D8%A8+%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A+%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+German+Garage%E2%80%AD/data=!4m7!3m6!1s0x3e2f077320a1a18d:0x7aed22fec88d007f!8m2!3d24.639303!4d46.7562548!16s%2Fg%2F11t1m0xb1r!19sChIJjaGhIHMHLz4RfwCNyP4i7Xo?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Automobile+Repair+Shop/data=!4m7!3m6!1s0x3e2f05006147173d:0x6bd35f60678669cf!8m2!3d24.6354242!4d46.7454845!16s%2Fg%2F11x0gstjj6!19sChIJPRdHYQAFLz4Rz2mGZ2Bf02s?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Best+Quality+Workshop+%D9%88%D8%B1%D8%B4%D8%A9+%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9+%D8%A7%D9%84%D8%A3%D9%81%D8%B6%D9%84+%D9%84%D8%B5%D9%8A%D8%A7%D9%86%D8%A9+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2efdfc958c4d07:0x58ef96fa5126449e!8m2!3d24.7630349!4d46.6833875!16s%2Fg%2F11p9w7b_x3!19sChIJB02Mlfz9Lj4RnkQmUfqW71g?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/University+Cooperative+Center+for+Car+Maintenance/data=!4m7!3m6!1s0x3e2f1cfeacdad2e1:0x1ce98e5da7db6202!8m2!3d24.6878101!4d46.6364708!16s%2Fg%2F11c72vfkqx!19sChIJ4dLarP4cLz4RAmLbp12O6Rw?authuser=0&hl=en&rclk=1
GC German Carfix لصيانة السيارات الألمانية,+966 54 577 3333,,,+966545773333,,https://wa.me/966545773333,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/GC+German+Carfix+%D9%84%D8%B5%D9%8A%D8%A7%D9%86%D8%A9+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2eff27d727ec81:0xe6d23e8f8033b41a!8m2!3d24.8334632!4d46.7998199!16s%2Fg%2F11tmzgmllm!19sChIJgewn1yf_Lj4RGrQzgI8-0uY?authuser=0&hl=en&rclk=1
Advanced Repair Centre (ARC) BMW,+966 50 447 6220,,,+966504476220,,https://wa.me/966504476220,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Advanced+Repair+Centre+%28ARC%29+BMW/data=!4m7!3m6!1s0x3e2f07a0b5f48fe1:0xda34794bc90e44cf!8m2!3d24.7497725!4d46.7639843!16s%2Fg%2F11h1_8f9rv!19sChIJ4Y_0taAHLz4Rz0QOyUt5NNo?authuser=0&hl=en&rclk=1
"Riyadh , Business District-Al-Gharabi Street",,,,,,,,No,,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Riyadh+,+Business+District-Al-Gharabi+Street/data=!4m7!3m6!1s0x3e2f050037956bcd:0x618b7a511cf06bc9!8m2!3d24.643852!4d46.7200449!16s%2Fg%2F11ww72nh1y!19sChIJzWuVNwAFLz4RyWvwHFF6i2E?authuser=0&hl=en&rclk=1"
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Ramz+Alsaah+Center+-+Pirelli/data=!4m7!3m6!1s0x3e2efd5b20461fef:0x5f9cadf94ee7a0a4!8m2!3d24.7555603!4d46.6827417!16s%2Fg%2F11cs32b9ys!19sChIJ7x9GIFv9Lj4RpKDnTvmtnF8?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Riyadh+old+industrial/data=!4m7!3m6!1s0x3e2f030001b452a1:0x267a8233471e8e0f!8m2!3d24.7135517!4d46.6752957!16s%2Fg%2F11xct7z528!19sChIJoVK0AQADLz4RD44eRzOCeiY?authuser=0&hl=en&rclk=1
Repair2Care ربير تو كير,+966 9200 10098,,,+966920010098,,https://wa.me/966920010098,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Repair2Care+%D8%B1%D8%A8%D9%8A%D8%B1+%D8%AA%D9%88+%D9%83%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f017c3808ed0f:0x1ca9945a9994c538!8m2!3d24.7416931!4d46.8017491!16s%2Fg%2F11tjpv3f5v!19sChIJD-0IOHwBLz4ROMWUmVqUqRw?authuser=0&hl=en&rclk=1
Naseem Mechanic Sanayya (Wasim),+966 56 768 4353,,,+966567684353,,https://wa.me/966567684353,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Naseem+Mechanic+Sanayya+%28Wasim%29/data=!4m7!3m6!1s0x3e2f03005315cd83:0xa320e1c2af3fa1cf!8m2!3d24.7135517!4d46.6752957!16s%2Fg%2F11w8qp_vqc!19sChIJg80VUwADLz4Rz6E_r8LhIKM?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Car+Repairs/data=!4m7!3m6!1s0x3e2f1dd6520d5e13:0xbf16cfeb1a8f5cb2!8m2!3d24.7006157!4d46.6555047!16s%2Fg%2F11g2xqtv5h!19sChIJE14NUtYdLz4RslyPGuvPFr8?authuser=0&hl=en&rclk=1
