Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
Fred's Radiator & Auto Repair,+1 254-756-1003,contact@sansoxygen.com,,+12547561003,,https://wa.me/12547561003,http://www.fredsautorepairwacotexas.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Fred%27s+Radiator+%26+Auto+Repair/data=!4m7!3m6!1s0x864f83caeed18653:0xc0dd7b5fd5c2c34!8m2!3d31.541346!4d-97.137642!16s%2Fg%2F1vgw90s3!19sChIJU4bR7sqDT4YRNCxc_bXXDQw?authuser=0&hl=en&rclk=1
Trinity Auto Haus,+1 254-457-5012,d@alayer.push,,+12544575012,,https://wa.me/12544575012,https://trinityautohaus.com/franklin-ave/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Trinity+Auto+Haus/data=!4m7!3m6!1s0x864f83e5c6156693:0x99191b18c2daea44!8m2!3d31.5283939!4d-97.1639834!16s%2Fg%2F1hd_w3gr6!19sChIJk2YVxuWDT4YRROrawhgbGZk?authuser=0&hl=en&rclk=1
Perales Brothers Automotive,+1 254-714-0464,,,+12547140464,,https://wa.me/12547140464,https://peralesbrosauto.wixsite.com/fixmycar,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Perales+Brothers+Automotive/data=!4m7!3m6!1s0x864f83b303bf7439:0xb6051ab854399819!8m2!3d31.5514909!4d-97.1383001!16s%2Fg%2F1vs5x3xc!19sChIJOXS_A7ODT4YRGZg5VLgaBbY?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Jesse+Britts+Automotive/data=!4m7!3m6!1s0x864f8407e74c16bb:0xe91618720d2a655b!8m2!3d31.5289139!4d-97.1802077!16s%2Fg%2F1td7nr1l!19sChIJuxZM5weET4YRW2UqDXIYFuk?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Dunn%27s+Auto+Repair/data=!4m7!3m6!1s0x864f84005a547dbf:0xf5244c2d8df343d!8m2!3d31.520318!4d-97.1808704!16s%2Fg%2F1tggbcwy!19sChIJv31UWgCET4YRPTTf2MJEUg8?authuser=0&hl=en&rclk=1
Kish Complete Car Care Center,+1 254-772-9331,service@completecarcarecenter.com,,+12547729331,,https://wa.me/12547729331,https://completecarcarecenter.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Kish+Complete+Car+Care+Center/data=!4m7!3m6!1s0x864f81554a0bc1cb:0x8cfe9027aa3eb3c6!8m2!3d31.5167435!4d-97.1786051!16s%2Fg%2F1tht1w8m!19sChIJy8ELSlWBT4YRxrM-qieQ_ow?authuser=0&hl=en&rclk=1
L & V Auto Repair,+1 254-235-3885,,,+12542353885,,https://wa.me/12542353885,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/L+%26+V+Auto+Repair/data=!4m7!3m6!1s0x864f82eca0eea579:0xc131b804082ea51a!8m2!3d31.5841355!4d-97.1155403!16s%2Fg%2F1tggtyjt!19sChIJeaXuoOyCT4YRGqUuCAS4McE?authuser=0&hl=en&rclk=1
,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Texas+Star+Tire+%26+Auto+Repair/data=!4m7!3m6!1s0x864f83fedc35cb89:0xd10b273460ccb251!8m2!3d31.5228987!4d-97.1759399!16s%2Fg%2F1tdgvtf_!19sChIJics13P6DT4YRUbLMYDQnC9E?authuser=0&hl=en&rclk=1
Mobile Mechanic Services,+1 254-733-7634,,,+12547337634,,https://wa.me/12547337634,,No,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Mobile+Mechanic+Services/data=!4m7!3m6!1s0x864565ab074594fb:0xfcd20da4aeffc1fc!8m2!3d31.586294!4d-97.1374374!16s%2Fg%2F11jnn98yt6!19sChIJ-5RFB6tlRYYR_MH_rqQN0vw?authuser=0&hl=en&rclk=1
Advanced Car Care Center,+1 254-212-1501,advancedcarcarewaco@gmail.com,,+12542121501,,https://wa.me/12542121501,https://www.advancedcarcarecenterwaco.com/,Yes,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Advanced+Car+Care+Center/data=!4m7!3m6!1s0x864f840770bb6783:0x2b49f3ec5380706d!8m2!3d31.5262797!4d-97.1797948!16s%2Fg%2F1wb8v2_n!19sChIJg2e7cAeET4YRbXCAU-zzSSs?authuser=0&hl=en&rclk=1
