Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Google Maps URL
Barasti Islamabad,+92 334 7788111,,,+923347788111,+923347788111,,No,"
M2R6+MH8 Sagheer Market, Street 40, F-10/4 F 10/4 F-10, Islamabad, 44000, Pakistan",4.2,0,Cafe,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/Barasti+Islamabad/data=!4m7!3m6!1s0x38dfbf80375f4e75:0xdad62975c644a430!8m2!3d33.6916566!4d73.0114611!16s%2Fg%2F11k6f42kt2!19sChIJdU5fN4C_3zgRMKRExnUp1to?authuser=0&hl=en&rclk=1
MaiKada Cafe and Restaurant /Best Sheesha cafe in Islamabad Shisha Shesha Lounge hookah lounge In Islamabad F10 Pakistan,+92 307 6265038,,,+923076265038,+923076265038,,No,"
2nd Floor of Butt karahi F10 Markaz Service Road East, Street 1A Plaza, near Butt Karahi, Islamabad, Pakistan",4.5,0,Cafe,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/MaiKada+Cafe+and+Restaurant+%2FBest+Sheesha+cafe+in+Islamabad+Shisha+Shesha+Lounge+hookah+lounge+In+Islamabad+F10+Pakistan/data=!4m7!3m6!1s0x38dfbfe5bc256369:0xaa48c139e04785a6!8m2!3d33.6932974!4d73.0154488!16s%2Fg%2F11r7wypplb!19sChIJaWMlvOW_3zgRpoVH4DnBSKo?authuser=0&hl=en&rclk=1
Black Horse Cafe,+92 303 0842333,,,+923030842333,+923030842333,,No,"
Plot 4, A Rooftop, F-10/3 F 10/3 F-10, Islamabad, Pakistan",4.6,0,Cafe,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/Black+Horse+Cafe/data=!4m7!3m6!1s0x38dfbf000cae40d5:0xe0cc03956142fee7!8m2!3d33.6953519!4d73.0135348!16s%2Fg%2F11yt9rgtww!19sChIJ1UCuDAC_3zgR5_5CYZUDzOA?authuser=0&hl=en&rclk=1
Feeka Coffee & Goods,+92 333 9643434,,,,,https://feekacafe.com/,Yes,"
Ground Floor, Plot 7 Street 65, F-10/3 F 10/3 F-10, Islamabad, Pakistan",4.7,0,Cafe,,,,,,,,No,,No,No,,No,low,https://www.google.com/maps/place/Feeka+Coffee+%26+Goods/data=!4m7!3m6!1s0x38dfbfa9a5dc8025:0x62ebd174d983d564!8m2!3d33.6969101!4d73.0069653!16s%2Fg%2F11xftf9r5h!19sChIJJYDcpam_3zgRZNWD2XTR62I?authuser=0&hl=en&rclk=1
Cafe Havana,+92 345 5259167,cafehavanaf10@gmail.com,cafehavanaf10@gmail.com,923365040654,923365040654,https://www.facebook.com/share/17uZfa5dq8/,Yes,"
F-10 Markaz F-10 Islamabad, 46000, Pakistan",3.4,0,Pakistani restaurant,,,https://www.facebook.com/share/17uZfa5dq8/,,,,,No,,Yes,No,,No,high,https://www.google.com/maps/place/Cafe+Havana/data=!4m7!3m6!1s0x38dfbf77ecfefb61:0x3db295fc986ae75d!8m2!3d33.6955994!4d73.012546!16s%2Fg%2F11s1bcd_d3!19sChIJYfv-7He_3zgRXedqmPyVsj0?authuser=0&hl=en&rclk=1
,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,https://www.google.com/maps/place/BR+9+Cafe+%26+restaurant+%28E-11%2F2+Islamabad%29/data=!4m7!3m6!1s0x38dfbd1d475bb20d:0xfa613d0e18686f9f!8m2!3d33.7013443!4d72.9681208!16s%2Fg%2F11rjzb0w3v!19sChIJDbJbRx293zgRn29oGA49Yfo?authuser=0&hl=en&rclk=1
Caffé Praha - Islamabad,+92 342 5263804,,,,,https://www.caffepraha.com/,Yes,"
Ground Floor, Shop 2, Plot 18 Agha Khan Rd, F-6 Markaz F 6 Markaz F-6, Islamabad, 04403, Pakistan",4.7,0,Cafe,,,,,,,,No,,No,No,,No,low,https://www.google.com/maps/place/Caff%C3%A9+Praha+-+Islamabad/data=!4m7!3m6!1s0x38dfbfa81c6ec49d:0x34be42bd8a9d3c4d!8m2!3d33.7304126!4d73.0787013!16s%2Fg%2F11yfbjkkfp!19sChIJncRuHKi_3zgRTTydir1CvjQ?authuser=0&hl=en&rclk=1
,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,https://www.google.com/maps/place/Street+1+Cafe/data=!4m7!3m6!1s0x38dfbf7add13fd47:0x228328ba4473a11b!8m2!3d33.7354677!4d73.078165!16s%2Fg%2F1hc8brzws!19sChIJR_0T3Xq_3zgRG6FzRLoogyI?authuser=0&hl=en&rclk=1
Silver Oaks Net Cafe,+92 326 8203907,,,+923268203907,+923268203907,,No,"
F-10, Plot no 7, Street 10, Islamabad, 44000, Pakistan",4.3,0,Coffee shop,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/Silver+Oaks+Net+Cafe/data=!4m7!3m6!1s0x38dfed5e06937197:0xd91acc3903f5a46f!8m2!3d33.6913007!4d73.0167021!16s%2Fg%2F11khjbmpmc!19sChIJl3GTBl7t3zgRb6T1AznMGtk?authuser=0&hl=en&rclk=1
Uptown Cafe & Restaurant,+92 300 0033350,,,+923000033350,+923000033350,,No,"
Rooftop, MPCHS E-11/3 MPCHS E 11/3 E-11, Islamabad, 44000, Pakistan",4.7,0,Restaurant,"
Open 24 hours

See more hours

",,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/Uptown+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x38dfbd4951915f49:0xd226d62fabd80426!8m2!3d33.7035174!4d72.980164!16s%2Fg%2F11v44ws93v!19sChIJSV-RUUm93zgRJgTYqy_WJtI?authuser=0&hl=en&rclk=1
