Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
Burning Brownie,+92 51 2814300,,,+92512814300,+92512814300,https://www.facebook.com/BurningBrownie/,Yes," Beverly Centre، Shop #66 F6، 1 Nazim-ud-din Rd, F 6/1 Blue Area, Islamabad, 44000, Pakistan",4.5,7067,Cafe,,,https://www.facebook.com/BurningBrownie/,,,,,No,,Yes,No,,No,ultra,50,"google_maps, website_multi_engine, facebook_verified",https://www.google.com/maps/place/Burning+Brownie/data=!4m7!3m6!1s0x38dfbf9c9063552f:0xfa78ef869ad56de2!8m2!3d33.7203631!4d73.074039!16s%2Fg%2F1pp2vccrh!19sChIJL1VjkJy_3zgR4m3VmobvePo?authuser=0&hl=en&rclk=1
Cafe De Aroma,+92 340 9853787,,,+923409853787,+923409853787,,No," Sadiqabad Rd, Sadiqabad Rawalpindi, Pakistan",4.6,1,Cafe,,,,,,,,No,,No,No,,No,medium,20,google_maps,https://www.google.com/maps/place/Cafe+De+Aroma/data=!4m7!3m6!1s0x38df95aa816c3a8b:0xec99fefcad7331f6!8m2!3d33.6329539!4d73.0820476!16s%2Fg%2F11p5fmtxy4!19sChIJizpsgaqV3zgR9jFzrfz-mew?authuser=0&hl=en&rclk=1
KAF Coffee,+92 310 0577770,,,+923100577770,+923100577770,https://instagram.com/kaf_pk?utm_medium=copy_link,Yes," Block 7, Block, Roomy Signature Hotel, Super Market, 7 Agha Khan Rd, F-6 Markaz Islamabad, 44000, Pakistan",4.6,4926,Coffee shop,,https://instagram.com/kaf_pk?utm_medium=copy_link,,,,,,No,,Yes,No,,No,ultra,50,"google_maps, website_multi_engine, instagram_verified",https://www.google.com/maps/place/KAF+Coffee/data=!4m7!3m6!1s0x38dfbf9500b9f139:0x68a2c891d0625a68!8m2!3d33.7287469!4d73.0753781!16s%2Fg%2F11p5ksfxq4!19sChIJOfG5AJW_3zgRaFpi0JHIomg?authuser=0&hl=en&rclk=1
Green Cafe,,,,,,,No," J4H2+FG7, Shakrial, Rawalpindi, 46000, Pakistan",5.0,0,Coffee shop,,,,,,,,No,,No,No,,No,low,10,google_maps,https://www.google.com/maps/place/Green+Cafe/data=!4m7!3m6!1s0x38dfeb0071ffa093:0xf0c6f64bc19de9d8!8m2!3d33.6286912!4d73.1012915!16s%2Fg%2F11z00f999h!19sChIJk6D_cQDr3zgR2OmdwUv2xvA?authuser=0&hl=en&rclk=1
Café Sol,+92 317 5637344,,,+923175637344,+923175637344,https://www.cafesolpk.com/,Yes," The Riviera, St 41, Phase 4 Bahria Town, Islamabad, Pakistan",4.3,1084,Cafe, Open · Closes 2 AM See more hours ,,https://www.facebook.com/pg/CafeSolPk/menu/,,,,,No,,Yes,No,wordpress,No,ultra,50,"google_maps, website_multi_engine, facebook_verified",https://www.google.com/maps/place/Caf%C3%A9+Sol/data=!4m7!3m6!1s0x38dfed9f620ddc0d:0xe6c2e703cc51a2ee!8m2!3d33.5499271!4d73.1374294!16s%2Fg%2F11f7r7z0m5!19sChIJDdwNYp_t3zgR7qJRzAPnwuY?authuser=0&hl=en&rclk=1
The Gravity Cafe,,,,,,,No," Food St, Shamsabad, Rawalpindi, 44000, Pakistan",4.9,22,Cafe,,,https://www.facebook.com/tgcrwp/photos/p.135050402244694/135050402244694,,,,,No,,No,No,,No,low,30,"google_maps, facebook_verified",https://www.google.com/maps/place/The+Gravity+Cafe/data=!4m7!3m6!1s0x38df951829fbdfff:0x9236fb361593ae01!8m2!3d33.6524466!4d73.0762015!16s%2Fg%2F11sh509m6r!19sChIJ_9_7KRiV3zgRAa6TFTb7NpI?authuser=0&hl=en&rclk=1
Cafe Il Gusto,+92 316 5903630,info.cafeilgusto@gmail.com,info.cafeilgusto@gmail.com,+923165903630,+923165903630; 923165903630,https://ilgustocafe.com/,Yes," Paradise Commercial, Ground floor, Omnia Heghts Plot 7, Cornice Road, Main GT Rd, Phase IV, Rawalpindi, 46220, Pakistan",4.9,0,Cafe,,https://www.instagram.com/cafeilgusto_,,,,https://www.tiktok.com/@cafeilgusto_,,Yes,crisp,No,No,,Yes,ultra,90,"google_maps, website_multi_engine, instagram_verified",https://www.google.com/maps/place/Cafe+Il+Gusto/data=!4m7!3m6!1s0x38dfedb22ca14f63:0xa9098b19e6c354f1!8m2!3d33.5437989!4d73.1150634!16s%2Fg%2F11yr97w3bc!19sChIJY0-hLLLt3zgR8VTD5hmLCak?authuser=0&hl=en&rclk=1
Loafology Bakery & Cafe,+92 51 2804240,,,+92512804240,+92512804240,https://www.loafology.com/,Yes," 108-W Jinnah Ave, Area G 7/2 Blue، Islamabad, 44000, Pakistan",4.3,18,Bakery,,,https://www.facebook.com/media/set/?vanity=Loafology&set=a.322591420111010,,,,,No,,No,No,,No,medium,30,"google_maps, website_multi_engine",https://www.google.com/maps/place/Loafology+Bakery+%26+Cafe/data=!4m7!3m6!1s0x38dfbfbc99205bb1:0x99552e0569a15210!8m2!3d33.7106518!4d73.0585757!16s%2Fg%2F11c32gt5l8!19sChIJsVsgmby_3zgREFKhaQUuVZk?authuser=0&hl=en&rclk=1
Meseta Coffee,+92 51 6102679,,,+92516102679,+92516102679,,No," G3CR+3CG, Bahria Town, Sector F DHA Phase 1, Rawalpindi, Pakistan",4.4,1576,Coffee shop,,,,,,,,No,,No,No,,No,medium,20,google_maps,https://www.google.com/maps/place/Meseta+Coffee/data=!4m7!3m6!1s0x38dfedda57ca4b55:0xe105e905037d91c5!8m2!3d33.5200338!4d73.0910596!16s%2Fg%2F11pkjsgbgy!19sChIJVUvKV9rt3zgRxZF9AwXpBeE?authuser=0&hl=en&rclk=1
M2M's Papa Coffee,+92 326 5651146,,,+923265651146,+923265651146,https://www.m2mspapacoffee.com/,Yes," Shop No. BM-04 Ground Floor, Madni Market Commercial Centre, B-Block Block B Satellite Town, Rawalpindi, 46300, Pakistan",4.7,6,Fast food restaurant,,,,,,,,No,,No,No,,No,medium,30,"google_maps, website_multi_engine",https://www.google.com/maps/place/M2M%27s+Papa+Coffee/data=!4m7!3m6!1s0x38df95569a75de7d:0x74341aa16aaf4131!8m2!3d33.6368703!4d73.0689418!16s%2Fg%2F11pk9gxlxj!19sChIJfd51mlaV3zgRMUGvaqEaNHQ?authuser=0&hl=en&rclk=1
