Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
THE HOT SPOT CAFE,+92 42 35757757,,,+924235757757,+924235757757,https://wa.me/924235757757,,No," 71-d-1 Sir Syed Rd, Block D1 Gulberg III, Lahore, Pakistan",4.1,2165,Cafe,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/THE+HOT+SPOT+CAFE/data=!4m7!3m6!1s0x3919045997cf38d7:0x101b6c2227f61bc!8m2!3d31.5142364!4d74.3447473!16s%2Fg%2F11g6_2kmqm!19sChIJ1zjPl1kEGTkRvGF_IsK2AQE?authuser=0&hl=en&rclk=1
Rumaisa’s Coffee House,+92 323 4822383,,,+923234822383,+923234822383,https://wa.me/923234822383,https://rumaisas.pk/?fbclid=PAZXh0bgNhZW0CMTEAAabbiH4aT2InG8Q-T0x8xZEwVYQdCdc7l6-a6TK8RW3kKDPU_E0l1GSDs1w_aem_-rRLxvPOzLyNsUp3RBNY1A,Yes,"
Shop # 146 - Bank Square Market, Lahore, Pakistan",4.0,0,Coffee shop,,,https://facebook.com/tr,,,,,No,,Yes,Yes,,No,ultra,50,"google_maps, basic_scraper, enhanced_sync_scraper, website_multi_engine",https://www.google.com/maps/place/Rumaisa%E2%80%99s+Coffee+House/data=!4m7!3m6!1s0x39190575cba4d491:0xf485f7a236be2098!8m2!3d31.4883023!4d74.3261496!16s%2Fg%2F11lllj3y9p!19sChIJkdSky3UFGTkRmCC-NqL3hfQ?authuser=0&hl=en&rclk=1
The Coffee Bean & Tea Leaf - DownTown,+92 42 38911007,info@coffeebean.pk,info@coffeebean.pk; office@yourdomain.com,+924238911007,+924238911007,https://wa.me/924238911007,http://www.coffeebean.pk/,Yes," Fountain Avenue،, Main Blvd Gulberg, Block H Gulberg 2, Lahore, 54000, Pakistan",4.3,123,Coffee shop,,https://www.instagram.com/coffeebeanpakistan,https://www.facebook.com/CoffeeBeanPakistan,,,,,Yes,crisp,Yes,No,wordpress,Yes,ultra,100,"google_maps, basic_scraper, website_multi_engine, instagram_verified, facebook_verified",https://www.google.com/maps/place/The+Coffee+Bean+%26+Tea+Leaf+-+DownTown/data=!4m7!3m6!1s0x391904fba92bb6ad:0xd84daaee36aa144d!8m2!3d31.5273531!4d74.35051!16s%2Fg%2F11hbv4hvk7!19sChIJrbYrqfsEGTkRTRSqNu6qTdg?authuser=0&hl=en&rclk=1
"FiLLi Cafe | Gulberg, Lahore",+92 323 6105555,info@fillicafe.com,info@fillicafe.com; franchise@fillicafe.com; chai@fillicafe.com,+97142204463,+97142204463; +971523790218; +923236105555,https://wa.me/97142204463; https://wa.me/971523790218; https://wa.me/923236105555,http://fillicafe.com/,Yes,"
94 D1, Mall, 1, Main Blvd Gulberg, Block D1 Gulberg III, Lahore, 54000, Pakistan",4.0,0,Cafe,,https://instagram.com/fillicafe,https://facebook.com/fillicafeUAE,https://twitter.com/fillicafeuae,https://www.linkedin.com/company/filli-cafe,,,No,,Yes,No,wordpress,No,ultra,100,"google_maps, basic_scraper, enhanced_sync_scraper, website_multi_engine, instagram_verified, facebook_verified","https://www.google.com/maps/place/FiLLi+Cafe+%7C+Gulberg,+Lahore/data=!4m7!3m6!1s0x391905004aea1b1f:0x5acc5f3af8426f2a!8m2!3d31.5187486!4d74.3458819!16s%2Fg%2F11vz8xm8qm!19sChIJHxvqSgAFGTkRKm9C-DpfzFo?authuser=0&hl=en&rclk=1"
"FiLLi Cafe | Gulberg, Lahore",+92 311 1134554,info@fillicafe.com,info@fillicafe.com; franchise@fillicafe.com; chai@fillicafe.com,+97142204463,+97142204463; +971523790218; +923111134554,https://wa.me/97142204463; https://wa.me/971523790218; https://wa.me/923111134554,http://fillicafe.com/,Yes,,0.0,0,,,https://www.instagram.com/fillicafe,https://www.facebook.com/fillicafeUAE,https://twitter.com/fillicafeuae,https://www.linkedin.com/company/filli-cafe,,,No,,Yes,No,wordpress,No,ultra,100,"google_maps, basic_scraper, enhanced_sync_scraper, website_multi_engine, instagram_verified, facebook_verified","https://www.google.com/maps/place/FiLLi+Cafe+%7C+Gulberg,+Lahore/data=!4m7!3m6!1s0x3919035d5ebc6379:0xeed18015989135aa!8m2!3d31.4667451!4d74.2589587!16s%2Fg%2F11vzb6jpxm!19sChIJeWO8Xl0DGTkRqjWRmBWA0e4?authuser=0&hl=en&rclk=1"
Sports Cafeteria UET Lahore,,,,,,,,No," H9J3+7J3, Staff Houses Engineering University Lahore, Lahore, Pakistan",3.9,1969,Cafe,,,,,,,,No,,No,No,,No,low,20,"google_maps, basic_scraper",https://www.google.com/maps/place/Sports+Cafeteria+UET+Lahore/data=!4m7!3m6!1s0x39191b26b682b797:0x19b125372ba5de6c!8m2!3d31.5806254!4d74.3540615!16s%2Fg%2F1tg7qdjx!19sChIJl7eCtiYbGTkRbN6lKzclsRk?authuser=0&hl=en&rclk=1
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,30,"google_maps, basic_scraper, enhanced_sync_scraper",https://www.google.com/maps/place/Tenerife+Caf%C3%A9/data=!4m7!3m6!1s0x391904e58fa1a3bb:0xb77edbfa4877b07b!8m2!3d31.5333075!4d74.3475141!16s%2Fg%2F11b7dz6jyt!19sChIJu6Ohj-UEGTkRe7B3SPrbfrc?authuser=0&hl=en&rclk=1
Third Culture Coffee - Gulberg,+92 42 111 822 822,team@enjoythirdculture.com,team@enjoythirdculture.com,+9242111822822,+9242111822822,https://wa.me/9242111822822,https://enjoythirdculture.com/,Yes,"
9a Main Boulevard Gulberg Kingston, Mall, Lahore, 54660, Pakistan",4.2,0,Coffee shop,,https://instagram.com/third_culture_coffee,https://facebook.com/ThirdCultureCoffee,,,,,No,,Yes,No,shopify,No,ultra,100,"google_maps, basic_scraper, enhanced_sync_scraper, website_multi_engine, instagram_verified, facebook_verified",https://www.google.com/maps/place/Third+Culture+Coffee+-+Gulberg/data=!4m7!3m6!1s0x3919050bedcfc137:0x84860fb666063d88!8m2!3d31.5213446!4d74.347396!16s%2Fg%2F11rw8xfq3r!19sChIJN8HP7QsFGTkRiD0GZrYPhoQ?authuser=0&hl=en&rclk=1
Quetta darbar cafe,+92 333 8607285,,,+923338607285,+923338607285,https://wa.me/923338607285,,No," Moon, Plat 48 Ahmedpur Road Satluj Block, Market, Allama Iqbal Town, Lahore, 54000, Pakistan",4.4,69,Coffee shop,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/Quetta+darbar+cafe/data=!4m7!3m6!1s0x39190344534099cb:0xdfa6a2bf2efd2713!8m2!3d31.5215436!4d74.2905996!16s%2Fg%2F11ll1q8n11!19sChIJy5lAU0QDGTkREyf9Lr-ipt8?authuser=0&hl=en&rclk=1
Extraction Coffee,+92 320 4311880,,,+923204311880,+923204311880,https://wa.me/923204311880,,No," 23-P, 2 Mushtaq Ahmed Gurmani Rd, Block P Gulberg, Lahore, Pakistan",4.4,1174,Cafe,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/Extraction+Coffee/data=!4m7!3m6!1s0x391905c50ac4eb3d:0x9b2366148fe2230!8m2!3d31.524172!4d74.3519031!16s%2Fg%2F11y58z5_xm!19sChIJPevECsUFGTkRMCL-SGE2sgk?authuser=0&hl=en&rclk=1
19th Hole Cafe,,,,,,,,No," G9QW+WPJ, Saddar Town, Lahore, Pakistan",4.4,26,Cafe,,,,,,,,No,,No,No,,No,low,20,"google_maps, basic_scraper",https://www.google.com/maps/place/19th+Hole+Cafe/data=!4m7!3m6!1s0x391905a8fb9dd84f:0xb42f1c95b3e64301!8m2!3d31.5398392!4d74.3967791!16s%2Fg%2F11gsmmr0fd!19sChIJT9id-6gFGTkRAUPms5UcL7Q?authuser=0&hl=en&rclk=1
Gloria Jean's Coffees Mall of Lahore,+92 42 36622518,customerservice@gloriajeanscoffees.com.pk,customerservice@gloriajeanscoffees.com.pk; info@gloriajeanscoffees.com.pk,+924236622518,+924236622518,https://wa.me/924236622518,https://gloriajeanscoffees.com.pk/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Mall%20of%20Lahore&utm_term=plcid_7514990157565265372,Yes," Tufail Rd, Cantt, Lahore, Pakistan",4.1,294,Coffee shop,,https://www.instagram.com/gloriajeanspakistan,https://www.facebook.com/GloriaJeansCoffeesPakistan,,,,https://www.youtube.com/embed,No,,Yes,No,wordpress,No,ultra,75,"google_maps, website_multi_engine, facebook_verified",https://www.google.com/maps/place/Gloria+Jean%27s+Coffees+Mall+of+Lahore/data=!4m7!3m6!1s0x3919050c64be0e5b:0x12bcf6c2daa60123!8m2!3d31.5292201!4d74.3788369!16s%2Fg%2F1ptzjf937!19sChIJWw6-ZAwFGTkRIwGm2sL2vBI?authuser=0&hl=en&rclk=1
,,,,,,,,No," New Anarkali, Aabkari Rd, near YMCA Hall, Neela Gumbad Lahore, 54000, Pakistan",4.3,29,Cafe,,,,,,,,No,,No,No,,No,low,20,"google_maps, basic_scraper",https://www.google.com/maps/place/Pak+Tea+House/data=!4m7!3m6!1s0x39191ca829587107:0x3cd24781c7f47553!8m2!3d31.5676052!4d74.3118513!16zL20vMDJrd3I2!19sChIJB3FYKagcGTkRU3X0x4FH0jw?authuser=0&hl=en&rclk=1
