Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
Ginsoy - SMCHS Branch,+92 21 34398831,,,+923111446769,+923111446769,https://wa.me/923111446769,http://www.ginsoy.com/,Yes," Captain Fareed Bukhari Shaheed Rd, Sindhi Muslim Cooperative Housing Society Block A Sindhi Muslim CHS (SMCHS), Karachi, Pakistan",4.4,6951,Chinese restaurant, Open · Closes 12:30 AM See more hours ,https://www.instagram.com/ginsoyextreme,https://www.facebook.com/Ginsoy,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Ginsoy+-+SMCHS+Branch/data=!4m7!3m6!1s0x3eb33e859bbd3bf1:0x695d46ff1f427f50!8m2!3d24.8640325!4d67.0549276!16s%2Fg%2F11b63rj_c5!19sChIJ8Tu9m4U-sz4RUH9CH_9GXWk?authuser=0&hl=en&rclk=1
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Coconut+Grove/data=!4m7!3m6!1s0x3eb33f6155dbecb1:0x1c97b479c1f63232!8m2!3d24.8684101!4d67.0781137!16s%2Fg%2F11p06x2xy4!19sChIJsezbVWE_sz4RMjL2wXm0lxw?authuser=0&hl=en&rclk=1
Mandi House,+92 331 0222233,mandihouseofficial@gmail.com,mandihouseofficial@gmail.com,+923310222233,+923310222233,https://wa.me/923310222233,https://mandihouse.pk/,Yes," Shaheed-e-Millat Rd, Delhi Mercantile Society P.E.C.H.S., Karachi, 75400, Pakistan",4.4,4723,Arab restaurant,,https://www.instagram.com/mandihouseofficial,https://www.facebook.com/MandiHouseOfficial,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Mandi+House/data=!4m7!3m6!1s0x3eb33eeb47f799e9:0x6354c1d6600f1eec!8m2!3d24.8787191!4d67.0659379!16s%2Fg%2F11g9q8ssbj!19sChIJ6Zn3R-s-sz4R7B4PYNbBVGM?authuser=0&hl=en&rclk=1
Cafe Aylanto,+92 307 2952686,support@meetthecheese.com,support@meetthecheese.com,+923072952686,+923072952686,https://wa.me/923072952686,http://www.cafeaylanto.org/orderonlinekhi,Yes," D 141, Block 4 Clifton, Karachi, 74600, Pakistan",4.2,7,Restaurant,,,,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Cafe+Aylanto/data=!4m7!3m6!1s0x3eb33d09c56102d5:0x7d3ca9c7bb6abeba!8m2!3d24.8041636!4d67.0312806!16s%2Fg%2F11h0tfjm0!19sChIJ1QJhxQk9sz4Rur5qu8epPH0?authuser=0&hl=en&rclk=1
Xander's,+92 21 111 926 337,marketing@xanders.pk,marketing@xanders.pk; catering@xanders.pk; shoaib@indolj.pk,+9221111926337,+9221111926337,https://wa.me/9221111926337,http://www.xanders.pk/,Yes," Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, 74200, Pakistan",4.2,1247,Restaurant,,https://www.instagram.com/xanderscafe,https://www.facebook.com/xanderscafe,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Xander%27s/data=!4m7!3m6!1s0x3eb33f25da17cb5f:0x78967cb3148c0491!8m2!3d24.8663903!4d67.0777874!16s%2Fg%2F11gdym_3l2!19sChIJX8sX2iU_sz4RkQSMFLN8lng?authuser=0&hl=en&rclk=1
Rajdhani Delights,+92 21 35810630,info@rajdhani.com.pk,info@rajdhani.com.pk,+922135810630,+922135810630,https://wa.me/922135810630,http://www.rajdhani.com.pk/,Yes," 2, Marine Pride, Khayaban-e-Iqbal Rd, Zone A - Block 7 Zone A Block 7 Clifton, Karachi, 75500, Pakistan",4.2,4510,Indian restaurant,,https://www.instagram.com/rajdhanidelights,https://www.facebook.com/rajdhanidelights,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Rajdhani+Delights/data=!4m7!3m6!1s0x3eb33dc7dadee2f1:0x73f9cb8469452617!8m2!3d24.8298751!4d67.0336925!16s%2Fg%2F11b6hyv79_!19sChIJ8eLe2sc9sz4RFyZFaYTL-XM?authuser=0&hl=en&rclk=1
Cafe Flo,+92 21 35830018,cfkarachi@gmail.com,cfkarachi@gmail.com,+922135830018,+922135830018,https://wa.me/922135830018,https://www.facebook.com/cafeflo/,Yes," d82, 1 26th Street, Block 4 Clifton, Karachi, 75500, Pakistan",4.2,4461,Fine dining restaurant,,,https://www.facebook.com/cafeflo/,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Cafe+Flo/data=!4m7!3m6!1s0x3eb33da7dafa0253:0x72ec9e8646415d8c!8m2!3d24.8074769!4d67.0341047!16s%2Fg%2F1tffh7hv!19sChIJUwL62qc9sz4RjF1BRoae7HI?authuser=0&hl=en&rclk=1
Côte Rôtie,+92 316 2882880,,,+923162882880,+923162882880,https://wa.me/923162882880,,No," Plot/St, 1, Karachi, 75600, Pakistan",4.3,4461,French restaurant, Open · Closes 11:30 PM See more hours ,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/C%C3%B4te+R%C3%B4tie/data=!4m7!3m6!1s0x3eb33d890c6fffff:0x5f0955423d953a43!8m2!3d24.8333201!4d67.0362212!16s%2Fg%2F11c5g_zfp3!19sChIJ__9vDIk9sz4RQzqVPUJVCV8?authuser=0&hl=en&rclk=1
LalQila Restaurant Karachi,+92 21 111 525 745,info@lalqila.com,info@lalqila.com,+9221111525745,+9221111525745,https://wa.me/9221111525745,https://www.lalqila.com/,Yes," 10/A, M.A.C.H.S، Main Shahra-e-Faisal, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, 75350, Pakistan",4.4,4887,Buffet restaurant,,https://www.instagram.com/lalqilarestaurant,https://www.facebook.com/LalQilaRestaurantKarachi,https://twitter.com/qila_lal,,,https://www.youtube.com/LalQilaKarachii,Yes,crisp,Yes,Yes,wordpress,Yes,high,,,https://www.google.com/maps/place/LalQila+Restaurant+Karachi/data=!4m7!3m6!1s0x3eb33eb25e826edb:0xf8830cefa06c2a7d!8m2!3d24.8722755!4d67.0907754!16s%2Fg%2F1tkbwpyd!19sChIJ226CXrI-sz4RfSpsoO8Mg_g?authuser=0&hl=en&rclk=1
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Clock+Tower+-+The+Food+Bazaar/data=!4m7!3m6!1s0x3eb33d88351fe923:0x47050748f7b343e5!8m2!3d24.7783353!4d67.0541842!16s%2Fg%2F11n154qjvn!19sChIJI-kfNYg9sz4R5UOz90gHBUc?authuser=0&hl=en&rclk=1
