Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
,,,,,,,,No,,0.0,429,Dermatologist,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Dr+Nadia%E2%80%99s+Aesthetics/data=!4m7!3m6!1s0x38dfeaaa3b06afd7:0x4771e3ae83f6ecdd!8m2!3d33.7096564!4d73.0470065!16s%2Fg%2F11dxf0__2q!19sChIJ168GO6rq3zgR3ez2g67jcUc?authuser=0&hl=en&rclk=1
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/The+Aesthetic+Loft+%7C+Skin+and+Aesthetic+Clinic+in+i8+Markaz+Islamabad/data=!4m7!3m6!1s0x38df95c1c5d33c51:0xcac9e5e7ac32aa85!8m2!3d33.6688938!4d73.0767094!16s%2Fg%2F11y3hpfj5g!19sChIJUTzTxcGV3zgRhaoyrOflyco?authuser=0&hl=en&rclk=1
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Allure+Skin+Clinic+Islamabad/data=!4m7!3m6!1s0x8b399008a746a1c1:0x5b897fb96aabadbe!8m2!3d33.7300899!4d73.0768554!16s%2Fg%2F11v3ynmdgp!19sChIJwaFGpwiQOYsRvq2rarl_iVs?authuser=0&hl=en&rclk=1
Dr Sumaira Abdullah,+92 305 5318880,,,+923055318880,+923055318880,https://wa.me/923055318880,https://instagram.com/drsumaira.abdullah?igshid=OGQ5ZDc2ODk2ZA==,Yes," Jinnah Super Market, College Rd, F-7 Markaz F 7 Markaz F-7, Islamabad, 44000, Pakistan",4.5,28,Dermatologist,,https://instagram.com/drsumaira.abdullah?igshid=OGQ5ZDc2ODk2ZA==,,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Dr+Sumaira+Abdullah/data=!4m7!3m6!1s0x38dfbfc88e4bfd13:0xdcd1af904f6eabe8!8m2!3d33.7220341!4d73.0588434!16s%2Fg%2F11c59wlylk!19sChIJE_1Ljsi_3zgR6KtuT5Cv0dw?authuser=0&hl=en&rclk=1
"JJ Aesthetics - Hair Transplant, Skin & Plastic Surgery Clinic in Islamabad and Rawalpindi",+92 322 3143448,info.jjaesthetics@gmail.com,info.jjaesthetics@gmail.com; info@jjasthetics.com,+923025469323,+923025469323; +923205636745,https://wa.me/923025469323; https://wa.me/923205636745,http://www.jjasthetics.com/,Yes," JJ Aesthetics Rajpoot Street Block E, Satellite Town Opposite Gate, 2 Holy Family Rd, Rawalpindi, 46000, Pakistan",4.9,4,Plastic surgeon, Open · Closes 8:30 PM See more hours ,https://www.instagram.com/jjasthetics,https://www.facebook.com/jjaestheticsofficial,,,,https://www.youtube.com/JJAesthetics,Yes,crisp,Yes,No,wordpress,Yes,high,,,"https://www.google.com/maps/place/JJ+Aesthetics+-+Hair+Transplant,+Skin+%26+Plastic+Surgery+Clinic+in+Islamabad+and+Rawalpindi/data=!4m7!3m6!1s0x38df951ba23c6ed3:0x98305854fb07a4de!8m2!3d33.6403221!4d73.0610678!16s%2Fg%2F11h0b6hg9n!19sChIJ0248ohuV3zgR3qQH-1RYMJg?authuser=0&hl=en&rclk=1"
IAT hydra Facial Best in Islamabad,+92 337 8880004,,,+923378880004,+923378880004,https://wa.me/923378880004,,No," Mir Chakar Road, I-8 Markaz I 8 Markaz I-8, Islamabad, 55000, Pakistan",5.0,268,Skin care clinic,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/IAT+hydra+Facial+Best+in+Islamabad/data=!4m7!3m6!1s0x38df95ad394f7123:0x44e83d003de22399!8m2!3d33.6687796!4d73.0766801!16s%2Fg%2F11vjvmlc2h!19sChIJI3FPOa2V3zgRmSPiPQA96EQ?authuser=0&hl=en&rclk=1
"Glamorous PRP Therapy Clinic Islamabad - PRP Face & Hair, Exosomes Hair",+92 333 5705871,info@glamorousclinic.com.pk,info@glamorousclinic.com.pk,+923335705871,+923335705871,https://wa.me/923335705871,https://www.glamorousclinic.com.pk/hair-transplant/prp-hair-treatment/,Yes," OFFICE NUMBER LG 20, 21 Interlace Rd, I-8 Markaz I 8 Markaz I-8, Islamabad, 44000, Pakistan",4.9,74,Dermatologist,,https://www.instagram.com/v,,,,,,Yes,crisp,Yes,No,wordpress,Yes,high,,,"https://www.google.com/maps/place/Glamorous+PRP+Therapy+Clinic+Islamabad+-+PRP+Face+%26+Hair,+Exosomes+Hair/data=!4m7!3m6!1s0x38df9529a50221e5:0x9982501e7029a471!8m2!3d33.6669982!4d73.0766478!16s%2Fg%2F11zhr5h866!19sChIJ5SECpSmV3zgRcaQpcB5Qgpk?authuser=0&hl=en&rclk=1"
Dr Salman Hair Transplant Plastic Surgery & Aesthetics Clinic Islamabad,+92 317 6777555,enquiries@drsalmanaesthetics.com,enquiries@drsalmanaesthetics.com,+923176777555,+923176777555,https://wa.me/923176777555,https://drsalmanaesthetics.com/,Yes," Farm House D, 568 Margalla Avenue, Block D Gulberg Greens, Islamabad, 44000, Pakistan",4.6,9,Plastic surgeon,,https://www.instagram.com/drsalmanaesthetics/,https://www.facebook.com/drsalmanaesthetics,,,https://www.tiktok.com/@drsalmanaesthetics,https://www.youtube.com/UCdURtVElUTBLyBPDKe8tXJg,Yes,crisp,Yes,No,wordpress,Yes,high,,,https://www.google.com/maps/place/Dr+Salman+Hair+Transplant+Plastic+Surgery+%26+Aesthetics+Clinic+Islamabad/data=!4m7!3m6!1s0x38dfbfba8f24e343:0xe7d364f21c109b7e!8m2!3d33.6181829!4d73.1978457!16s%2Fg%2F11tmwv_5cb!19sChIJQ-Mkj7q_3zgRfpsQHPJk0-c?authuser=0&hl=en&rclk=1
Dr Riaz Khan Marwat,+92 315 2135791,,,+923152135791,+923152135791,https://wa.me/923152135791,,No," P38M+RPG, Unnamed Road, G-6 Markaz G 6 Markaz G-6, Islamabad, Pakistan",4.2,3,Dermatologist,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Dr+Riaz+Khan+Marwat/data=!4m7!3m6!1s0x38dfbf5520537bf9:0xebc47891e6d3ac8a!8m2!3d33.717072!4d73.0843365!16s%2Fg%2F11fj2qsm4d!19sChIJ-XtTIFW_3zgRiqzT5pF4xOs?authuser=0&hl=en&rclk=1
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Dr.+Amna%27s+Clinic/data=!4m7!3m6!1s0x38dfbf8cc389cd85:0xb0cb7c4d9f53d7b8!8m2!3d33.6979579!4d73.0111349!16s%2Fg%2F11trsd6p4y!19sChIJhc2Jw4y_3zgRuNdTn018y7A?authuser=0&hl=en&rclk=1
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Venus+Aesthetics+%7C+F-7+Markaz+%7C+Islamabad/data=!4m7!3m6!1s0x38dfbf3e510a6eef:0x7f738b7002a72c31!8m2!3d33.7191706!4d73.0548911!16s%2Fg%2F11jnqzldfh!19sChIJ724KUT6_3zgRMSynAnCLc38?authuser=0&hl=en&rclk=1
Google Maps can't reach the internet,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Aesthetic+Skin+Clinic/data=!4m7!3m6!1s0x38dfbff7da9fbd49:0xb3f1631f0c4dcea1!8m2!3d33.7309159!4d73.0811328!16s%2Fg%2F11ghfrljpv!19sChIJSb2f2ve_3zgRoc5NDB9j8bM?authuser=0&hl=en&rclk=1
,,,,,,,,No," Building 7, Maroof International, P Hospital Parking, F-10/3 F 10/3 F-10, Islamabad, 44000, Pakistan",5.0,27,Dermatologist,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Dr+Sabeen+Mansoor/data=!4m7!3m6!1s0x38dfbf9717dd351d:0xc66d5033fc145609!8m2!3d33.6971487!4d73.0110372!16s%2Fg%2F11y8v4njjl!19sChIJHTXdF5e_3zgRCVYU_DNQbcY?authuser=0&hl=en&rclk=1
Dr. Sana's Clear Skin Laser Clinic,+92 336 3253251,,,+923363253251,+923363253251,https://wa.me/923363253251,,No," P393+FPG, Bhittai Rd, next to jugnu saloon, F-7 Markaz F 7/1 F-7, Islamabad, 44000, Pakistan",3.6,104,Doctor,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Dr.+Sana%27s+Clear+Skin+Laser+Clinic/data=!4m7!3m6!1s0x38dfbddb1de9648f:0x1206dbc109523266!8m2!3d33.7186815!4d73.0543401!16s%2Fg%2F11d_7wgpxs!19sChIJj2TpHdu93zgRZjJSCcHbBhI?authuser=0&hl=en&rclk=1
"Islamabad ENT Center-Pvt.Ltd"" (Rhinoplasty) Ear, Nose, Throat Specialist's, Surgeon's",+92 312 0991986,,,+923120991986,+923120991986,https://wa.me/923120991986,https://islamabadentcenter.com/,Yes," officia 20 Ground Floor, executive Complex, Back Side PSO Pump, Markaz, near TCS Office, G-8 Markaz G 8 Markaz G-8, Islamabad, 44000, Pakistan",4.9,669,Otolaryngology clinic,,,,,,,,No,,No,No,,No,medium,,,"https://www.google.com/maps/place/Islamabad+ENT+Center-Pvt.Ltd%22+%28Rhinoplasty%29+Ear,+Nose,+Throat+Specialist%27s,+Surgeon%27s/data=!4m7!3m6!1s0x38dfbfbf21ad4751:0xd3a073468163936!8m2!3d33.6979885!4d73.0488475!16s%2Fg%2F11mwys_dgl!19sChIJUUetIb-_3zgRNjkWaDQHOg0?authuser=0&hl=en&rclk=1"
Islamabad Skin Care,+92 321 5015708,isc.dha2@gmail.com,isc.dha2@gmail.com,+923215015708,+923215015708,https://wa.me/923215015708,https://m.facebook.com/100091082431374/about/,Yes," Plaza A1, Gate # 1, Main GT Rd, Sector B Sector A DHA Phase II, Islamabad, 45730, Pakistan",5.0,14,Dermatologist,,,https://m.facebook.com/100091082431374/about/,,,,,No,,Yes,No,,No,high,,,https://www.google.com/maps/place/Islamabad+Skin+Care/data=!4m7!3m6!1s0x38dfedce6fc890c5:0x8bd24f39e3d376b2!8m2!3d33.5320037!4d73.1306255!16s%2Fg%2F11sjjy70kh!19sChIJxZDIb87t3zgRsnbT4zlP0os?authuser=0&hl=en&rclk=1
