Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
Skintech Solutions,+92 308 3588826,,,+923083588826,+923083588826,https://wa.me/923083588826,,No," Suite no 103 & 104, Trade Center, Plot 23, Muhammad Ali Chs (Machs), Karachi, Pakistan",4.4,79,Skin care clinic,,,https://www.facebook.com/skintechsolutionskhi/,,,,,No,,No,No,,No,high,50,"google_maps, basic_scraper, facebook_verified",https://www.google.com/maps/place/Skintech+Solutions/data=!4m7!3m6!1s0x3eb33f5d5d1ccfd7:0xec56bf8c9fbea178!8m2!3d24.8752536!4d67.0887298!16s%2Fg%2F11lql9fnm7!19sChIJ188cXV0_sz4ReKG-n4y_Vuw?authuser=0&hl=en&rclk=1
Dr amber usman skin clinic,+92 342 8179720,,,+923428179720,+923428179720,https://wa.me/923428179720,,No," Office # 102, building, 11-C 3rd Zamzama Commercial Lane, DHA Phase 5 Zamzama Commercial Area Defence V Defence Housing Authority, Karachi, 75500, Pakistan",2.8,145,Dermatologist,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/Dr+amber+usman+skin+clinic/data=!4m7!3m6!1s0x3eb33db2d22e01b3:0xa5bc7717dc086a12!8m2!3d24.8159139!4d67.0418146!16s%2Fg%2F11p5j7z7ht!19sChIJswEu0rI9sz4REmoI3Bd3vKU?authuser=0&hl=en&rclk=1
Malir Skin Clinic,+92 336 8083731,,,+923368083731,+923368083731,https://wa.me/923368083731,,No,"
Main national highway، adjacent Gevini restaurant، Malir city, Karachi, Pakistan",4.7,0,Dermatologist,,,,,,,,No,,No,No,,No,medium,40,"google_maps, basic_scraper, enhanced_sync_scraper",https://www.google.com/maps/place/Malir+Skin+Clinic/data=!4m7!3m6!1s0x3eb33755147b5b81:0x4e526dd83f0e6fa8!8m2!3d24.8773886!4d67.1911212!16s%2Fg%2F11fxx50scy!19sChIJgVt7FFU3sz4RqG8OP9htUk4?authuser=0&hl=en&rclk=1
Dr. Zara Shah Skin Clinic,+92 320 9237118,,,+923209237118,+923209237118,https://wa.me/923209237118,,No,"
St-1 Shahrah-e-Firdousi, Block 3 Clifton, Karachi, 75600, Pakistan",5.0,0,Skin care clinic,,,,,,,,No,,No,No,,No,medium,40,"google_maps, basic_scraper, enhanced_sync_scraper",https://www.google.com/maps/place/Dr.+Zara+Shah+Skin+Clinic/data=!4m7!3m6!1s0x3eb33d102c8ffa05:0xbf24bcd7132c8396!8m2!3d24.8141213!4d67.0223505!16s%2Fg%2F11rn4hp3qv!19sChIJBfqPLBA9sz4RloMsE9e8JL8?authuser=0&hl=en&rclk=1
Skin Xperts clinic North Karachi Branch By Dr. javed Alam Farooqui,+92 322 8266277,,,+923228266277,+923228266277,https://wa.me/923228266277,,No," Plot A 600 Sector 11-B Ocean Shopping Mall Shop# 47-48 North, opp. Dawn Pubil School, Sector 11 B North Karachi, Karachi, 71500, Pakistan",3.7,1,Dermatologist,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/Skin+Xperts+clinic+North+Karachi+Branch+By+Dr.+javed+Alam+Farooqui/data=!4m7!3m6!1s0x3eb34177052df049:0x3f1c153b562a61f2!8m2!3d24.9722223!4d67.0607909!16s%2Fg%2F11lknhysw7!19sChIJSfAtBXdBsz4R8mEqVjsVHD8?authuser=0&hl=en&rclk=1
Dr. Fauzia Farid Skin Care Clinic,+92 300 2516399,,,+923002516399,+923002516399,https://wa.me/923002516399,,No," Block 18 Gulistan-e-Johar, Karachi, 75290, Pakistan",4.7,97,Doctor,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/Dr.+Fauzia+Farid+Skin+Care+Clinic/data=!4m7!3m6!1s0x3eb3395fa4cf5ccb:0x673e6fd25833543f!8m2!3d24.9082994!4d67.1225364!16s%2Fg%2F11hdt2wwxm!19sChIJy1zPpF85sz4RP1QzWNJvPmc?authuser=0&hl=en&rclk=1
"Dr Zafar Ahmed, Skin Laser & Cosmetology Center",+92 21 32294736,,,+922132294736,+922132294736,https://wa.me/922132294736,,No," APWA Complex, Ground Floor, Shop No 20-19 SA, Kiani Shaheed Rd, Garden East, Saddar Town, Karachi, Sindh, Pakistan",3.9,3,Skin care clinic,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper","https://www.google.com/maps/place/Dr+Zafar+Ahmed,+Skin+Laser+%26+Cosmetology+Center/data=!4m7!3m6!1s0x3eb33e6b150bc557:0x32a397e98df1f283!8m2!3d24.8671659!4d67.0242324!16s%2Fg%2F11xwcrpdb!19sChIJV8ULFWs-sz4Rg_LxjemXozI?authuser=0&hl=en&rclk=1"
The Skin clinic by Dr Hina Omer,+92 345 2617826,,,+923452617826,+923452617826,https://wa.me/923452617826,,No," V38F+936, Block-6 Block 6 P.E.C.H.S., Karachi, Pakistan",3.9,46,Doctor,,,https://www.facebook.com/The-Skin-Clinic-by-Dr-Hina-Omer-131296147277569/?fref=ts,,,,,No,,No,No,,No,high,50,"google_maps, basic_scraper, facebook_verified",https://www.google.com/maps/place/The+Skin+clinic+by+Dr+Hina+Omer/data=!4m7!3m6!1s0x3eb33ea2e50f9521:0x7d7316e0ef7094d4!8m2!3d24.8659219!4d67.0726415!16s%2Fg%2F11dxl316cy!19sChIJIZUP5aI-sz4R1JRw7-AWc30?authuser=0&hl=en&rclk=1
Dr Piyar Ali Momin,+92 345 2187148,,,+923452187148,+923452187148,https://wa.me/923452187148,,No," Shop # 3 Al Zahra Arcade, Nishtar Rd, Soldier Bazaar, Karachi, Pakistan",4.6,3,Dermatologist,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/Dr+Piyar+Ali+Momin/data=!4m7!3m6!1s0x3eb33f29038e4895:0x6330e227ea7cca8d!8m2!3d24.8824237!4d67.0269102!16s%2Fg%2F11fl0vhdy0!19sChIJlUiOAyk_sz4Rjcp86ifiMGM?authuser=0&hl=en&rclk=1
Dr.Fauzia Farid Skin Care Clinic 2,+92 332 2975651,,,+923322975651,+923322975651,https://wa.me/923322975651,,No," X49G+5VH, Quetta Town Sector 18 A Gulzar E Hijri Scheme 33, Karachi, Pakistan",4.8,205,Dermatologist,,,,,,,,No,,No,No,,No,medium,30,"google_maps, basic_scraper",https://www.google.com/maps/place/Dr.Fauzia+Farid+Skin+Care+Clinic+2/data=!4m7!3m6!1s0x3eb347dac8bd4db5:0xfb0816249f764666!8m2!3d24.9675702!4d67.1274896!16s%2Fg%2F11jspy982r!19sChIJtU29yNpHsz4RZkZ2nyQWCPs?authuser=0&hl=en&rclk=1
