Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,WhatsApp wa.me Links,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Verification Score,Data Sources,Google Maps URL
,,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,,,https://www.google.com/maps/place/Mehmaan+Khana+Marriage+Hall/data=!4m7!3m6!1s0x39190527711f7c87:0x162fdb415ccb9be1!8m2!3d31.5377332!4d74.3190789!16s%2Fg%2F11h0qv7g0w!19sChIJh3wfcScFGTkR4ZvLXEHbLxY?authuser=0&hl=en&rclk=1
Grand Orchid Marquee,+92 42 35321023,,,+924235321023,+924235321023,https://wa.me/924235321023,,No,"
land breeze housing، 5 Raiwind Rd، near Suzuki Showroom, Block B Lda Avenue Phase 1 Lda Avenue, Lahore, 05499, Pakistan",4.4,0,Banquet hall,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Grand+Orchid+Marquee/data=!4m7!3m6!1s0x391901d2738d1713:0x81eb64868d7b4d94!8m2!3d31.4191368!4d74.2291776!16s%2Fg%2F11c702pmks!19sChIJExeNc9IBGTkRlE17jYZk64E?authuser=0&hl=en&rclk=1
The Grand Marquee (GM Events),+92 332 4542457,,,+923324542457,+923324542457,https://wa.me/923324542457,,No,"
12 New, Babar Block Garden Town, Lahore, 54700, Pakistan",4.2,0,Wedding venue,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/The+Grand+Marquee+%28GM+Events%29/data=!4m7!3m6!1s0x39190471ce2831f7:0x2535d61d3a37ec4b!8m2!3d31.5013547!4d74.3228434!16s%2Fg%2F11b7kclnr_!19sChIJ9zEoznEEGTkRS-w3Oh3WNSU?authuser=0&hl=en&rclk=1
Mughal-e-Azam Fort,+92 42 35884053,,,+924235884053,+924235884053,https://wa.me/924235884053,,No,"
Main Boulevard New Garden Town Opp. Mughal-e-Azam Banquet Complex, Usman Block Garden Town, Lahore, Pakistan",4.3,0,Wedding venue,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Mughal-e-Azam+Fort/data=!4m7!3m6!1s0x39190476d24a41b1:0x668d222f8a0fd1db!8m2!3d31.5008695!4d74.3175596!16s%2Fg%2F1hf12xs9t!19sChIJsUFK0nYEGTkR29EPii8ijWY?authuser=0&hl=en&rclk=1
Prince Hall,+92 300 8406300,,,+923008406300,+923008406300,https://wa.me/923008406300,,No,"
9-A، Plot 40, New Muslim Town Abu Bakar Block Garden Town, Lahore, 54000, Pakistan",4.1,0,Event venue,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Prince+Hall/data=!4m7!3m6!1s0x39190463c704db23:0x5775843ee84f7a8!8m2!3d31.5129163!4d74.3281374!16s%2Fg%2F1hc49vxwq!19sChIJI9sEx2MEGTkRqPeE7kNYdwU?authuser=0&hl=en&rclk=1
LUXE Marquee,+92 332 4247376,,,+923324247376,+923324247376,https://wa.me/923324247376,,No,"
Block E, Ex, Block N Gulberg III, Lahore, Pakistan",4.3,0,Banquet hall,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/LUXE+Marquee/data=!4m7!3m6!1s0x39190f0c0129afff:0xa5c80b294dd1620c!8m2!3d31.5203906!4d74.3588167!16s%2Fg%2F11ckd25l3f!19sChIJ_68pAQwPGTkRDGLRTSkLyKU?authuser=0&hl=en&rclk=1
VenueHub Eastern Marquee,+92 321 4797787,,,+923214797787,+923214797787,https://wa.me/923214797787,,No,"
plot # 210 Wafaqi Colony Rd, Quaid-i-Azam Campus, Lahore, 54000, Pakistan",4.2,0,Wedding venue,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/VenueHub+Eastern+Marquee/data=!4m7!3m6!1s0x391903c20a91b5f9:0x27b7b05ca0a35d44!8m2!3d31.4835587!4d74.2886854!16s%2Fg%2F1tf7w30p!19sChIJ-bWRCsIDGTkRRF2joFywtyc?authuser=0&hl=en&rclk=1
Elite Marquee,+92 321 8236788,,,+923218236788,+923218236788,https://wa.me/923218236788,,No,"
52-B Airport Rd, DHA Phase 8 - Ex Park View Block F gate, Lahore, Pakistan",4.2,0,Event venue,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Elite+Marquee/data=!4m7!3m6!1s0x39190f738a33c725:0x3fb574a393c22f9c!8m2!3d31.5235835!4d74.4249115!16s%2Fg%2F11fktz1mdp!19sChIJJcczinMPGTkRnC_Ck6N0tT8?authuser=0&hl=en&rclk=1
Shershah Palace - Marquee & Farmhouse,+92 307 8133331,,,+923078133331,+923078133331,https://wa.me/923078133331,,No,"
Adda Plot Raiwind Rd, Eden Park, Lahore, 54000, Pakistan",4.8,0,Event venue,"
Open · Closes 10:30 PM

See more hours

",https://www.instagram.com/shershahpalace,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Shershah+Palace+-+Marquee+%26+Farmhouse/data=!4m7!3m6!1s0x3919ab7750860349:0x4ced4586b6361860!8m2!3d31.3690506!4d74.227479!16s%2Fg%2F11vkbnjhj4!19sChIJSQOGUHerGTkRYBg2toZF7Uw?authuser=0&hl=en&rclk=1
Grand Pavilion - Hall # 7,+92 42 36611321,,,+924236611321,+924236611321,https://wa.me/924236611321,,No,"
Hall # 7، Wedding Halls، Garrison Golf & Country Club, Saddar Town, Lahore, 54000, Pakistan",4.3,0,Banquet hall,,,,,,,,No,,No,No,,No,medium,,,https://www.google.com/maps/place/Grand+Pavilion+-+Hall+%23+7/data=!4m7!3m6!1s0x3919056546256cdd:0x7dd7e2a5cd35624f!8m2!3d31.5369638!4d74.3950894!16s%2Fg%2F119w57h55!19sChIJ3WwlRmUFGTkRT2I1zaXi130?authuser=0&hl=en&rclk=1
